taxon	defined_class	defined_class_label	lbo_id	venom_code	fci_id
NCBITaxon:9685	OMIA:1103	Kurilian Bobtail		15290	15291
NCBITaxon:9615	OMIA:813	White Swiss shepherd		14810	347
NCBITaxon:9615	OMIA:1018	Thai Ridgeback		14635	338
NCBITaxon:9615	OMIA:776	Spanish water dog		15120	336
NCBITaxon:9615	OMIA:844	Smooth Collie		13881	296
NCBITaxon:9615	OMIA:1101	Spanish greyhound		14072	285
NCBITaxon:9615	OMIA:14	Siberian Husky		14275	270
NCBITaxon:9615	OMIA:454	Siberian Huskie		14275	270
NCBITaxon:9615	OMIA:577	Sydney Silky		15080	236
NCBITaxon:9615	OMIA:838	Tibetan spaniel		14887	231
NCBITaxon:9615	OMIA:650	Tibetan Mastiff		14432	230
NCBITaxon:9615	OMIA:795	Frisian Water Dog		14874	221
NCBITaxon:9615	OMIA:384	Tibetan Terrier		15083	209
NCBITaxon:9615	OMIA:829	Sloughi			188
NCBITaxon:9615	OMIA:215	Wirehaired Fox Terrier		15003	169
NCBITaxon:9615	OMIA:785	Whippet		15127	162
NCBITaxon:9615	OMIA:617	Swedish Lapland		14360	135
NCBITaxon:9615	OMIA:834	Swedish Lapphund		14360	135
NCBITaxon:9615	OMIA:794	Sussex Spaniel		14886	127
NCBITaxon:9615	OMIA:965	Welsh springer spaniel		14885	126
NCBITaxon:9615	OMIA:858	Wachtelhund		13965	104
NCBITaxon:9615	OMIA:328	Yorkshire Terrier		15087	86
NCBITaxon:9615	OMIA:380	Yorkshire terrier		15087	86
NCBITaxon:9615	OMIA:178	West Highland White Terrier		15086	85
NCBITaxon:9615	OMIA:29	West Highland White terrier		15086	85
NCBITaxon:9615	OMIA:2	Staffordshire Bull Terrier		15076	76
NCBITaxon:9615	OMIA:576	Skye Terrier		15074	75
NCBITaxon:9615	OMIA:771	wheaten terrier		15075	40
NCBITaxon:9615	OMIA:970	Swedish Vallhund		13841	14
NCBITaxon:9796	OMIA:1012	Welsh Pony	LBO:0000919	79279	
NCBITaxon:9796	OMIA:937	Warmblood		79277	
NCBITaxon:9796	OMIA:1004	Trakehner	LBO:0000913	79273	
NCBITaxon:9796	OMIA:113	Thoroughbred	LBO:0000910	79269	
NCBITaxon:9796	OMIA:1125	Tennessee Walking Horse	LBO:0000907	79265	
NCBITaxon:9796	OMIA:1016	Swiss Warmblood	LBO:0000932	79263	
NCBITaxon:9796	OMIA:132	Standardbred	LBO:0000900	79257	
NCBITaxon:9796	OMIA:110	Shetland Pony	LBO:0000890	79246	
NCBITaxon:9796	OMIA:293	Shetland	LBO:0000890	79246	
NCBITaxon:9796	OMIA:133	Quarter	LBO:0000878	79232	
NCBITaxon:9796	OMIA:16	Quarter Horse	LBO:0000878	79232	
NCBITaxon:9796	OMIA:1044	Pinto Horse	LBO:0000870	79226	
NCBITaxon:9796	OMIA:135	Percheron	LBO:0000865	79224	
NCBITaxon:9796	OMIA:868	Paso Fino	LBO:0000864	79222	
NCBITaxon:9796	OMIA:409	Palomino	LBO:0000862	79220	
NCBITaxon:9796	OMIA:436	Oldenburg	LBO:0000859	79214	
NCBITaxon:9796	OMIA:572	Oldenberg	LBO:0000859	79214	
NCBITaxon:9615	OMIA:296	Newfoundland		79208	
NCBITaxon:9796	OMIA:932	New Forest Pony	LBO:0000848	79204	
NCBITaxon:9796	OMIA:1005	Morgan	LBO:0000843	79196	
NCBITaxon:9796	OMIA:963	Miniature Shetland		79192	
NCBITaxon:9796	OMIA:1023	Miniature Horse		79188	
NCBITaxon:9796	OMIA:872	Lusitano	LBO:0000830	79182	
NCBITaxon:9796	OMIA:1072	Lipizzan	LBO:0000827	79180	
NCBITaxon:9796	OMIA:688	Polish Koniks	LBO:0000871	79176	
NCBITaxon:9796	OMIA:1045	Knabstrupper	LBO:0000822	79174	
NCBITaxon:9796	OMIA:826	Icelandic	LBO:0000807	79160	
NCBITaxon:9796	OMIA:220	Holsteiner	LBO:0000804	79151	
NCBITaxon:9796	OMIA:956	Haflinger	LBO:0000799	79139	
NCBITaxon:9796	OMIA:931	German Riding Pony		79133	
NCBITaxon:9796	OMIA:998	Friesian	LBO:0000789	79129	
NCBITaxon:9796	OMIA:1042	Fell Pony	LBO:0000782	79119	
NCBITaxon:9796	OMIA:906	Draft		79109	
NCBITaxon:9796	OMIA:1043	Dales Pony	LBO:0000765	79103	
NCBITaxon:9796	OMIA:908	Connemara pony	LBO:0000762	79096	
NCBITaxon:9796	OMIA:136	Clydesdale	LBO:0000760	79090	
NCBITaxon:9796	OMIA:1047	British Spotted Pony		79077	
NCBITaxon:9796	OMIA:1082	Belgian draft horse		79063	
NCBITaxon:9796	OMIA:686	Ardennes	LBO:0000727	79051	
NCBITaxon:9796	OMIA:134	Arabian	LBO:0000726	79049	
NCBITaxon:9796	OMIA:589	Appaloosa	LBO:0000724	79047	
NCBITaxon:9796	OMIA:520	American Standardbred		79037	
NCBITaxon:9796	OMIA:848	American Saddlebred		79035	
NCBITaxon:9796	OMIA:427	American Quarter Horse		79033	
NCBITaxon:9796	OMIA:1006	American Miniature Horse		79031	
NCBITaxon:9796	OMIA:954	Akhal-Teke	LBO:0000715	79023	
NCBITaxon:9796	OMIA:687	Fjord	LBO:0000857	79019	
NCBITaxon:9615	OMIA:772	Hungarian komondor		22648	
NCBITaxon:9615	OMIA:706	Karabas		22639	
NCBITaxon:9615	OMIA:774	Rat Terrier		22634	
NCBITaxon:9615	OMIA:401	Australian Shepherd		22606	
NCBITaxon:9615	OMIA:1079	Miniature American Shepherd		22605	
NCBITaxon:9615	OMIA:517	Gos d'Atura		22603	
NCBITaxon:9615	OMIA:292	Irish Setter		22597	
NCBITaxon:9615	OMIA:453	Shar Planinetz		22591	
NCBITaxon:9615	OMIA:303	Brittany Spaniel		22569	
NCBITaxon:9615	OMIA:770	Podenco dog		22566	
NCBITaxon:9615	OMIA:1162	Australian Labradoodle		22542	
NCBITaxon:9615	OMIA:518	Sabueso Espanol		22527	
NCBITaxon:9615	OMIA:767	Brussels griffon		22521	
NCBITaxon:9615	OMIA:784	Chinese Crested Dog		22494	
NCBITaxon:9615	OMIA:814	Waller		22429	
NCBITaxon:9615	OMIA:1027	Saarloo		22425	
NCBITaxon:9615	OMIA:424	Miniature Pinscher		22419	
NCBITaxon:9615	OMIA:634	Vizsla		22417	
NCBITaxon:9615	OMIA:811	Longhaired whippet		22416	
NCBITaxon:9615	OMIA:817	Lapponian Herder 		22415	
NCBITaxon:9615	OMIA:1074	Irish soft-coated wheaten terrier		22414	
NCBITaxon:9615	OMIA:831	Entlebucher mountain dog		22410	
NCBITaxon:9615	OMIA:845	Perro de Presa Canario		22409	
NCBITaxon:9615	OMIA:820	Dogue de Bordeaux		19077	
NCBITaxon:9615	OMIA:1028	Czechoslovakian wolfdog		19071	
NCBITaxon:9615	OMIA:1132	Australian Terrier		19061	
NCBITaxon:9615	OMIA:38	Schnauzer		19049	
NCBITaxon:9615	OMIA:149	Saint Bernard		19047	
NCBITaxon:9615	OMIA:187	Poodle		19045	
NCBITaxon:9615	OMIA:516	Mastin Espanol		19039	
NCBITaxon:9685	OMIA:377	Persian		18760	
NCBITaxon:9986	OMIA:456	New Zealand White		18610	
NCBITaxon:9986	OMIA:1019	Netherland Dwarf		18609	
NCBITaxon:9986	OMIA:1021	Lionhead Dwarf		18584	
NCBITaxon:9986	OMIA:605	French		18557	
NCBITaxon:9986	OMIA:455	Flemish Giant		18552	
NCBITaxon:9986	OMIA:918	Checkered Giant		18489	
NCBITaxon:9986	OMIA:604	Beveren		18456	
NCBITaxon:9685	OMIA:37	Scottish Fold		18102	
NCBITaxon:9685	OMIA:1160	Munchkin		18098	
NCBITaxon:9685	OMIA:181	Manx		18096	
NCBITaxon:9685	OMIA:893	American Bobtail		18082	
NCBITaxon:9615	OMIA:598	Maltese		17461	
NCBITaxon:9685	OMIA:943	Toyger		15335	
NCBITaxon:9685	OMIA:693	Tonkanese		15334	
NCBITaxon:9685	OMIA:824	Sphynx		15333	
NCBITaxon:9685	OMIA:161	Siamese		15326	
NCBITaxon:9685	OMIA:807	Siamese		15326	
NCBITaxon:9685	OMIA:808	Siamese		15326	
NCBITaxon:9685	OMIA:871	Selkirk Rex		15322	
NCBITaxon:9685	OMIA:788	Ragdoll		15315	
NCBITaxon:9685	OMIA:894	Pixie-Bob		15313	
NCBITaxon:9685	OMIA:982	Norwegian Forest		15304	
NCBITaxon:9685	OMIA:91	Maltese Blue		15295	
NCBITaxon:9685	OMIA:778	Maine Coon		15294	
NCBITaxon:9685	OMIA:865	Korat		15289	
NCBITaxon:9685	OMIA:22	Himalayan		15285	
NCBITaxon:9685	OMIA:852	German Rex		15282	
NCBITaxon:9685	OMIA:888	Don Sphynx		15275	
NCBITaxon:9685	OMIA:461	Domestic shorthair		15273	
NCBITaxon:9685	OMIA:578	Domestic Shorthair		15273	
NCBITaxon:9685	OMIA:1156	Domestic medium-haired		15272	
