Level	Rule Name	Subject	Property	Value
ERROR	missing_label	NCBITaxon:10042	rdfs:label	
ERROR	missing_label	NCBITaxon:10152	rdfs:label	
ERROR	missing_label	NCBITaxon:30521	rdfs:label	
ERROR	missing_label	NCBITaxon:37174	rdfs:label	
ERROR	missing_label	NCBITaxon:8835	rdfs:label	
ERROR	missing_label	NCBITaxon:8839	rdfs:label	
ERROR	missing_label	NCBITaxon:8843	rdfs:label	
ERROR	missing_label	NCBITaxon:8848	rdfs:label	
ERROR	missing_label	NCBITaxon:8932	rdfs:label	
ERROR	missing_label	NCBITaxon:89462	rdfs:label	
ERROR	missing_label	NCBITaxon:9031	rdfs:label	
ERROR	missing_label	NCBITaxon:9091	rdfs:label	
ERROR	missing_label	NCBITaxon:9103	rdfs:label	
ERROR	missing_label	NCBITaxon:9615	rdfs:label	
ERROR	missing_label	NCBITaxon:9685	rdfs:label	
ERROR	missing_label	NCBITaxon:9793	rdfs:label	
ERROR	missing_label	NCBITaxon:9796	rdfs:label	
ERROR	missing_label	NCBITaxon:9823	rdfs:label	
ERROR	missing_label	NCBITaxon:9913	rdfs:label	
ERROR	missing_label	NCBITaxon:9915	rdfs:label	
ERROR	missing_label	NCBITaxon:9925	rdfs:label	
ERROR	missing_label	NCBITaxon:9939	rdfs:label	
ERROR	missing_label	NCBITaxon:9940	rdfs:label	
ERROR	missing_label	NCBITaxon:9986	rdfs:label	
ERROR	duplicate_label	Siamese	rdfs:label	Siamese
ERROR	duplicate_label	Siamese	rdfs:label	Siamese
ERROR	duplicate_label	Siamese	rdfs:label	Siamese
ERROR	duplicate_label	Rambouillet	rdfs:label	Rambouillet
ERROR	duplicate_label	Rambouillet	rdfs:label	Rambouillet
ERROR	duplicate_label	New Hampshire	rdfs:label	New Hampshire
ERROR	duplicate_label	New Hampshire	rdfs:label	New Hampshire
ERROR	duplicate_label	Mixed breed	rdfs:label	Mixed breed
ERROR	duplicate_label	Mixed breed	rdfs:label	Mixed breed
ERROR	duplicate_label	Italian Holstein	rdfs:label	Italian Holstein
ERROR	duplicate_label	Italian Holstein	rdfs:label	Italian Holstein
ERROR	duplicate_label	Gordon Setter	rdfs:label	Gordon Setter
ERROR	duplicate_label	Gordon Setter	rdfs:label	Gordon Setter
ERROR	duplicate_label	Friesian	rdfs:label	Friesian
ERROR	duplicate_label	Friesian	rdfs:label	Friesian
ERROR	duplicate_label	Corgi	rdfs:label	Corgi
ERROR	duplicate_label	Corgi	rdfs:label	Corgi
ERROR	duplicate_label	Chesapeake Bay Retriever	rdfs:label	Chesapeake Bay Retriever
ERROR	duplicate_label	Chesapeake Bay Retriever	rdfs:label	Chesapeake Bay Retriever
ERROR	label_whitespace	Swedish Briard 	rdfs:label	Swedish Briard 
ERROR	label_whitespace	Swedish Red and White 	rdfs:label	Swedish Red and White 
ERROR	label_whitespace	 Rambouillet	rdfs:label	 Rambouillet
ERROR	label_whitespace	Collie 	rdfs:label	Collie 
ERROR	label_whitespace	Lapponian Herder 	rdfs:label	Lapponian Herder 
WARN	annotation_whitespace	Swedish Briard 	rdfs:label	Swedish Briard 
WARN	annotation_whitespace	Swedish Red and White 	rdfs:label	Swedish Red and White 
WARN	annotation_whitespace	 Rambouillet	rdfs:label	 Rambouillet
WARN	annotation_whitespace	Collie 	rdfs:label	Collie 
WARN	annotation_whitespace	Lapponian Herder 	rdfs:label	Lapponian Herder 
WARN	annotation_whitespace	capable of	IAO:0000115	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 
WARN	missing_definition	anatomical entity	IAO:0000115	
WARN	missing_definition	organism or virus or viroid	IAO:0000115	
WARN	missing_definition	biological entity	IAO:0000115	
WARN	missing_definition	molecular_function	IAO:0000115	
WARN	missing_definition	catalytic activity	IAO:0000115	
WARN	missing_definition	biological_process	IAO:0000115	
WARN	missing_definition	kinase activity	IAO:0000115	
WARN	missing_definition	transferase activity	IAO:0000115	
WARN	missing_definition	transferase activity, transferring phosphorus-containing groups	IAO:0000115	
WARN	missing_definition	NCBITaxon:10042	IAO:0000115	
WARN	missing_definition	NCBITaxon:10152	IAO:0000115	
WARN	missing_definition	NCBITaxon:30521	IAO:0000115	
WARN	missing_definition	NCBITaxon:37174	IAO:0000115	
WARN	missing_definition	NCBITaxon:8835	IAO:0000115	
WARN	missing_definition	NCBITaxon:8839	IAO:0000115	
WARN	missing_definition	NCBITaxon:8843	IAO:0000115	
WARN	missing_definition	NCBITaxon:8848	IAO:0000115	
WARN	missing_definition	NCBITaxon:8932	IAO:0000115	
WARN	missing_definition	NCBITaxon:89462	IAO:0000115	
WARN	missing_definition	NCBITaxon:9031	IAO:0000115	
WARN	missing_definition	NCBITaxon:9091	IAO:0000115	
WARN	missing_definition	NCBITaxon:9103	IAO:0000115	
WARN	missing_definition	NCBITaxon:9615	IAO:0000115	
WARN	missing_definition	NCBITaxon:9685	IAO:0000115	
WARN	missing_definition	NCBITaxon:9793	IAO:0000115	
WARN	missing_definition	NCBITaxon:9796	IAO:0000115	
WARN	missing_definition	NCBITaxon:9823	IAO:0000115	
WARN	missing_definition	NCBITaxon:9913	IAO:0000115	
WARN	missing_definition	NCBITaxon:9915	IAO:0000115	
WARN	missing_definition	NCBITaxon:9925	IAO:0000115	
WARN	missing_definition	NCBITaxon:9939	IAO:0000115	
WARN	missing_definition	NCBITaxon:9940	IAO:0000115	
WARN	missing_definition	NCBITaxon:9986	IAO:0000115	
WARN	missing_definition	root node	IAO:0000115	
WARN	missing_definition	Nubian	IAO:0000115	
WARN	missing_definition	Wire-haired dachshund	IAO:0000115	
WARN	missing_definition	Red Spotted Czech	IAO:0000115	
WARN	missing_definition	Highland	IAO:0000115	
WARN	missing_definition	Eskimo Spitz	IAO:0000115	
WARN	missing_definition	Chinese Xingyi	IAO:0000115	
WARN	missing_definition	Japanese game fowl	IAO:0000115	
WARN	missing_definition	Trakehner	IAO:0000115	
WARN	missing_definition	Morgan	IAO:0000115	
WARN	missing_definition	American Miniature Horse	IAO:0000115	
WARN	missing_definition	Old-Tori	IAO:0000115	
WARN	missing_definition	Bama miniature	IAO:0000115	
WARN	missing_definition	Mongolian Turano	IAO:0000115	
WARN	missing_definition	Kerry	IAO:0000115	
WARN	missing_definition	Camarillo White Horse	IAO:0000115	
WARN	missing_definition	Japanese Draft	IAO:0000115	
WARN	missing_definition	Welsh Pony	IAO:0000115	
WARN	missing_definition	Noriker	IAO:0000115	
WARN	missing_definition	Gipsy	IAO:0000115	
WARN	missing_definition	South German Draft	IAO:0000115	
WARN	missing_definition	Swiss Warmblood	IAO:0000115	
WARN	missing_definition	Phal̬ne	IAO:0000115	
WARN	missing_definition	Thai Ridgeback	IAO:0000115	
WARN	missing_definition	Netherland Dwarf	IAO:0000115	
WARN	missing_definition	Karakul	IAO:0000115	
WARN	missing_definition	Loh	IAO:0000115	
WARN	missing_definition	Lionhead Dwarf	IAO:0000115	
WARN	missing_definition	Danish Holstein	IAO:0000115	
WARN	missing_definition	Miniature Horse	IAO:0000115	
WARN	missing_definition	Italian Greyhound	IAO:0000115	
WARN	missing_definition	Large Munster-lander	IAO:0000115	
WARN	missing_definition	Glen of Imaal Terrier	IAO:0000115	
WARN	missing_definition	Saarloo	IAO:0000115	
WARN	missing_definition	Czechoslovakian wolfdog	IAO:0000115	
WARN	missing_definition	Swedish Briard 	IAO:0000115	
WARN	missing_definition	Belmont Red	IAO:0000115	
WARN	missing_definition	Plott Hound	IAO:0000115	
WARN	missing_definition	New Zealand Huntaway dog	IAO:0000115	
WARN	missing_definition	German Holstein	IAO:0000115	
WARN	missing_definition	Swiss Holstein	IAO:0000115	
WARN	missing_definition	Friesian-Jersey mosaic	IAO:0000115	
WARN	missing_definition	American Brown Swiss	IAO:0000115	
WARN	missing_definition	Beef Booster Composite	IAO:0000115	
WARN	missing_definition	Booroola	IAO:0000115	
WARN	missing_definition	Brazilian Santa In̻s	IAO:0000115	
WARN	missing_definition	Bernese Mountain dog	IAO:0000115	
WARN	missing_definition	Norwegian breeds	IAO:0000115	
WARN	missing_definition	Bashkir Curly Horse	IAO:0000115	
WARN	missing_definition	Fell Pony	IAO:0000115	
WARN	missing_definition	Dales Pony	IAO:0000115	
WARN	missing_definition	Pinto Horse	IAO:0000115	
WARN	missing_definition	Knabstrupper	IAO:0000115	
WARN	missing_definition	Pony of the Americas	IAO:0000115	
WARN	missing_definition	British Spotted Pony	IAO:0000115	
WARN	missing_definition	Australian Spotted Pony	IAO:0000115	
WARN	missing_definition	Peruvian Paso	IAO:0000115	
WARN	missing_definition	Ayrshire	IAO:0000115	
WARN	missing_definition	Wisconsin hypoalpha mutant (WHAM)	IAO:0000115	
WARN	missing_definition	Connecticut (CT) strain	IAO:0000115	
WARN	missing_definition	S2 line	IAO:0000115	
WARN	missing_definition	Fayoumi eplipeptic strain	IAO:0000115	
WARN	missing_definition	Huiyang Bearded	IAO:0000115	
WARN	missing_definition	NH-413 strain	IAO:0000115	
WARN	missing_definition	OPN strain	IAO:0000115	
WARN	missing_definition	Polymorphic Nucleolar (PNU) strain	IAO:0000115	
WARN	missing_definition	ISA Brown	IAO:0000115	
WARN	missing_definition	Lohmann Brown	IAO:0000115	
WARN	missing_definition	Brown Swiss	IAO:0000115	
WARN	missing_definition	Marans	IAO:0000115	
WARN	missing_definition	TETRA	IAO:0000115	
WARN	missing_definition	Transylvanian naked neck	IAO:0000115	
WARN	missing_definition	Beijing You	IAO:0000115	
WARN	missing_definition	German Hunting Terrier	IAO:0000115	
WARN	missing_definition	Limonero	IAO:0000115	
WARN	missing_definition	Appenzeller Barthuhn	IAO:0000115	
WARN	missing_definition	Miniature Bull Terrier	IAO:0000115	
WARN	missing_definition	Commercial lines	IAO:0000115	
WARN	missing_definition	Polski Owczarek Nizinny	IAO:0000115	
WARN	missing_definition	Dairy Shorthorn	IAO:0000115	
WARN	missing_definition	Polski Owczarek Podhalanski	IAO:0000115	
WARN	missing_definition	FH-r strain	IAO:0000115	
WARN	missing_definition	Lipizzan	IAO:0000115	
WARN	missing_definition	Rouge-des-Pr̩s	IAO:0000115	
WARN	missing_definition	Irish soft-coated wheaten terrier	IAO:0000115	
WARN	missing_definition	Schnauzer-Beagle cross	IAO:0000115	
WARN	missing_definition	Normand	IAO:0000115	
WARN	missing_definition	miniature donkey	IAO:0000115	
WARN	missing_definition	Miniature	IAO:0000115	
WARN	missing_definition	Miniature American Shepherd	IAO:0000115	
WARN	missing_definition	Pietrain	IAO:0000115	
WARN	missing_definition	Italian Holstein	IAO:0000115	
WARN	missing_definition	Italian Holstein	IAO:0000115	
WARN	missing_definition	Belgian draft horse	IAO:0000115	
WARN	missing_definition	American Bully	IAO:0000115	
WARN	missing_definition	Galgo Espa̱ol	IAO:0000115	
WARN	missing_definition	Magyar Ag��r	IAO:0000115	
WARN	missing_definition	Komondor	IAO:0000115	
WARN	missing_definition	German Angus	IAO:0000115	
WARN	missing_definition	American Bashkir Curly horse	IAO:0000115	
WARN	missing_definition	Missouri Foxtrotter	IAO:0000115	
WARN	missing_definition	American Akita	IAO:0000115	
WARN	missing_definition	French Bulldog	IAO:0000115	
WARN	missing_definition	Wyandotte	IAO:0000115	
WARN	missing_definition	Orpington	IAO:0000115	
WARN	missing_definition	Miniature Zebu	IAO:0000115	
WARN	missing_definition	Scottish Highland	IAO:0000115	
WARN	missing_definition	American Hairless Terrier	IAO:0000115	
WARN	missing_definition	Spanish horse	IAO:0000115	
WARN	missing_definition	Standardbred �� Tennessee Walking Horse cross	IAO:0000115	
WARN	missing_definition	Purebred Spanish horse	IAO:0000115	
WARN	missing_definition	German Shepherd Dog	IAO:0000115	
WARN	missing_definition	Shetland Pony	IAO:0000115	
WARN	missing_definition	Alpine Dachsbracke	IAO:0000115	
WARN	missing_definition	Spanish greyhound	IAO:0000115	
WARN	missing_definition	Petit Basset Griffon Vend̩en	IAO:0000115	
WARN	missing_definition	Kurilian Bobtail	IAO:0000115	
WARN	missing_definition	Northern Inuit Dog	IAO:0000115	
WARN	missing_definition	Gute	IAO:0000115	
WARN	missing_definition	V�_rmland	IAO:0000115	
WARN	missing_definition	Helsinge	IAO:0000115	
WARN	missing_definition	Kl̦vsj̦	IAO:0000115	
WARN	missing_definition	Massese	IAO:0000115	
WARN	missing_definition	Finnsheep	IAO:0000115	
WARN	missing_definition	Tux-Zillertaler	IAO:0000115	
WARN	missing_definition	Slovenian Cika	IAO:0000115	
WARN	missing_definition	British Gloucester	IAO:0000115	
WARN	missing_definition	Spanish Berrenda en negro	IAO:0000115	
WARN	missing_definition	Eringer	IAO:0000115	
WARN	missing_definition	Evol̬ner	IAO:0000115	
WARN	missing_definition	French Holstein	IAO:0000115	
WARN	missing_definition	Valais Red	IAO:0000115	
WARN	missing_definition	Standard Schnauzer	IAO:0000115	
WARN	missing_definition	Dorset Horn	IAO:0000115	
WARN	missing_definition	Cinta Senese	IAO:0000115	
WARN	missing_definition	Mexican Pelibuey	IAO:0000115	
WARN	missing_definition	Gypsy	IAO:0000115	
WARN	missing_definition	Istrian Pramenka	IAO:0000115	
WARN	missing_definition	Mie-Jidori	IAO:0000115	
WARN	missing_definition	Tennessee Walking Horse	IAO:0000115	
WARN	missing_definition	Norwegian Dairy Goat	IAO:0000115	
WARN	missing_definition	Synthetic	IAO:0000115	
WARN	missing_definition	Altay	IAO:0000115	
WARN	missing_definition	Australian Kelpie	IAO:0000115	
WARN	missing_definition	Thoroughbred	IAO:0000115	
WARN	missing_definition	Pyrenean Mountain Dog	IAO:0000115	
WARN	missing_definition	Pit Bull Terrier	IAO:0000115	
WARN	missing_definition	Australian Terrier	IAO:0000115	
WARN	missing_definition	Braque du Bourbonnais	IAO:0000115	
WARN	missing_definition	Dera Din Panah	IAO:0000115	
WARN	missing_definition	Nachi	IAO:0000115	
WARN	missing_definition	Kamori	IAO:0000115	
WARN	missing_definition	Yakutian	IAO:0000115	
WARN	missing_definition	Gurtenvieh	IAO:0000115	
WARN	missing_definition	Lakenvelder	IAO:0000115	
WARN	missing_definition	Sardinian	IAO:0000115	
WARN	missing_definition	Gang	IAO:0000115	
WARN	missing_definition	Pak angora	IAO:0000115	
WARN	missing_definition	Uckerm�_rker	IAO:0000115	
WARN	missing_definition	Danish Landrace	IAO:0000115	
WARN	missing_definition	Girgentana	IAO:0000115	
WARN	missing_definition	Appenzell	IAO:0000115	
WARN	missing_definition	Grisons Striped	IAO:0000115	
WARN	missing_definition	Chamois Colored	IAO:0000115	
WARN	missing_definition	Yorkshire	IAO:0000115	
WARN	missing_definition	St. Gallen Booted	IAO:0000115	
WARN	missing_definition	Peacock	IAO:0000115	
WARN	missing_definition	Bezoar	IAO:0000115	
WARN	missing_definition	American English Coonhound	IAO:0000115	
WARN	missing_definition	Danish-Swedish farmdog	IAO:0000115	
WARN	missing_definition	Ural Rex	IAO:0000115	
WARN	missing_definition	Domestic medium-haired	IAO:0000115	
WARN	missing_definition	Hungarian pumi	IAO:0000115	
WARN	missing_definition	Hungarian mudi	IAO:0000115	
WARN	missing_definition	Lykoi	IAO:0000115	
WARN	missing_definition	White Leghorn	IAO:0000115	
WARN	missing_definition	Munchkin	IAO:0000115	
WARN	missing_definition	Swiss Large White	IAO:0000115	
WARN	missing_definition	Australian Labradoodle	IAO:0000115	
WARN	missing_definition	Zwartbles	IAO:0000115	
WARN	missing_definition	Berber	IAO:0000115	
WARN	missing_definition	Dutch Shepherd dog	IAO:0000115	
WARN	missing_definition	Belgian Blue�ېHolstein cross	IAO:0000115	
WARN	missing_definition	Yimeng	IAO:0000115	
WARN	missing_definition	Yucatan miniature pig	IAO:0000115	
WARN	missing_definition	Mangalitza	IAO:0000115	
WARN	missing_definition	Black Minorca	IAO:0000115	
