defined_class	defined_class_label	taxon	lbo_id	venom_code	fci_id
ID	LABEL	SC 'in taxon' some %	A http://purl.obolibrary.org/obo/omia#lbo_id	A http://purl.obolibrary.org/obo/omia#venom_code	A http://purl.obolibrary.org/obo/omia#fci_id
OMIA:1103	Kurilian Bobtail	NCBITaxon:9685		15290	15291
OMIA:813	White Swiss shepherd	NCBITaxon:9615		14810	347
OMIA:1018	Thai Ridgeback	NCBITaxon:9615		14635	338
OMIA:776	Spanish water dog	NCBITaxon:9615		15120	336
OMIA:844	Smooth Collie	NCBITaxon:9615		13881	296
OMIA:1101	Spanish greyhound	NCBITaxon:9615		14072	285
OMIA:14	Siberian Husky	NCBITaxon:9615		14275	270
OMIA:454	Siberian Huskie	NCBITaxon:9615		14275	270
OMIA:577	Sydney Silky	NCBITaxon:9615		15080	236
OMIA:838	Tibetan spaniel	NCBITaxon:9615		14887	231
OMIA:650	Tibetan Mastiff	NCBITaxon:9615		14432	230
OMIA:795	Frisian Water Dog	NCBITaxon:9615		14874	221
OMIA:384	Tibetan Terrier	NCBITaxon:9615		15083	209
OMIA:829	Sloughi	NCBITaxon:9615			188
OMIA:215	Wirehaired Fox Terrier	NCBITaxon:9615		15003	169
OMIA:785	Whippet	NCBITaxon:9615		15127	162
OMIA:617	Swedish Lapland	NCBITaxon:9615		14360	135
OMIA:834	Swedish Lapphund	NCBITaxon:9615		14360	135
OMIA:794	Sussex Spaniel	NCBITaxon:9615		14886	127
OMIA:965	Welsh springer spaniel	NCBITaxon:9615		14885	126
OMIA:858	Wachtelhund	NCBITaxon:9615		13965	104
OMIA:328	Yorkshire Terrier	NCBITaxon:9615		15087	86
OMIA:380	Yorkshire terrier	NCBITaxon:9615		15087	86
OMIA:178	West Highland White Terrier	NCBITaxon:9615		15086	85
OMIA:29	West Highland White terrier	NCBITaxon:9615		15086	85
OMIA:2	Staffordshire Bull Terrier	NCBITaxon:9615		15076	76
OMIA:576	Skye Terrier	NCBITaxon:9615		15074	75
OMIA:771	wheaten terrier	NCBITaxon:9615		15075	40
OMIA:970	Swedish Vallhund	NCBITaxon:9615		13841	14
OMIA:1012	Welsh Pony	NCBITaxon:9796	LBO:0000919	79279	
OMIA:937	Warmblood	NCBITaxon:9796		79277	
OMIA:1004	Trakehner	NCBITaxon:9796	LBO:0000913	79273	
OMIA:113	Thoroughbred	NCBITaxon:9796	LBO:0000910	79269	
OMIA:1125	Tennessee Walking Horse	NCBITaxon:9796	LBO:0000907	79265	
OMIA:1016	Swiss Warmblood	NCBITaxon:9796	LBO:0000932	79263	
OMIA:132	Standardbred	NCBITaxon:9796	LBO:0000900	79257	
OMIA:110	Shetland Pony	NCBITaxon:9796	LBO:0000890	79246	
OMIA:293	Shetland	NCBITaxon:9796	LBO:0000890	79246	
OMIA:133	Quarter	NCBITaxon:9796	LBO:0000878	79232	
OMIA:16	Quarter Horse	NCBITaxon:9796	LBO:0000878	79232	
OMIA:1044	Pinto Horse	NCBITaxon:9796	LBO:0000870	79226	
OMIA:135	Percheron	NCBITaxon:9796	LBO:0000865	79224	
OMIA:868	Paso Fino	NCBITaxon:9796	LBO:0000864	79222	
OMIA:409	Palomino	NCBITaxon:9796	LBO:0000862	79220	
OMIA:436	Oldenburg	NCBITaxon:9796	LBO:0000859	79214	
OMIA:572	Oldenberg	NCBITaxon:9796	LBO:0000859	79214	
OMIA:296	Newfoundland	NCBITaxon:9615		79208	
OMIA:932	New Forest Pony	NCBITaxon:9796	LBO:0000848	79204	
OMIA:1005	Morgan	NCBITaxon:9796	LBO:0000843	79196	
OMIA:963	Miniature Shetland	NCBITaxon:9796		79192	
OMIA:1023	Miniature Horse	NCBITaxon:9796		79188	
OMIA:872	Lusitano	NCBITaxon:9796	LBO:0000830	79182	
OMIA:1072	Lipizzan	NCBITaxon:9796	LBO:0000827	79180	
OMIA:688	Polish Koniks	NCBITaxon:9796	LBO:0000871	79176	
OMIA:1045	Knabstrupper	NCBITaxon:9796	LBO:0000822	79174	
OMIA:826	Icelandic	NCBITaxon:9796	LBO:0000807	79160	
OMIA:220	Holsteiner	NCBITaxon:9796	LBO:0000804	79151	
OMIA:956	Haflinger	NCBITaxon:9796	LBO:0000799	79139	
OMIA:931	German Riding Pony	NCBITaxon:9796		79133	
OMIA:998	Friesian	NCBITaxon:9796	LBO:0000789	79129	
OMIA:1042	Fell Pony	NCBITaxon:9796	LBO:0000782	79119	
OMIA:906	Draft	NCBITaxon:9796		79109	
OMIA:1043	Dales Pony	NCBITaxon:9796	LBO:0000765	79103	
OMIA:908	Connemara pony	NCBITaxon:9796	LBO:0000762	79096	
OMIA:136	Clydesdale	NCBITaxon:9796	LBO:0000760	79090	
OMIA:1047	British Spotted Pony	NCBITaxon:9796		79077	
OMIA:1082	Belgian draft horse	NCBITaxon:9796		79063	
OMIA:686	Ardennes	NCBITaxon:9796	LBO:0000727	79051	
OMIA:134	Arabian	NCBITaxon:9796	LBO:0000726	79049	
OMIA:589	Appaloosa	NCBITaxon:9796	LBO:0000724	79047	
OMIA:520	American Standardbred	NCBITaxon:9796		79037	
